"PVWatts Hourly PV Performance Data"
"Requested Location","Toronto"
"Location","Lat, Lng: 43.65, -79.38"
"Latitude (DD)","43.65"
"Longitude (DD)","-79.38"
"Elevation (m)","93.199996948242"
"DC System Size (kW)","200"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","1","5.9","0.87","0","1","0","0"
"1","1","1","0","0","1","5.3","0.87","0","1","0","0"
"1","1","2","0","0","1","5","0.87","0","1","0","0"
"1","1","3","0","0","0","4.9","0.87","0","0","0","0"
"1","1","4","0","0","0","4.6","0.87","0","0","0","0"
"1","1","5","0","0","0","4.5","0.87","0","0","0","0"
"1","1","6","0","0","0","4.4","0.87","0","0","0","0"
"1","1","7","0","0","0","4.4","0.87","0","0","0","0"
"1","1","8","177","40","1","4.5","0.87","99.782","2.528","14786.275","13469.626"
"1","1","9","0","35","2","4.4","0.87","33.017","2.54","5596.808","4605.778"
"1","1","10","38","125","2","4.1","0.87","156.717","4.681","28193.851","26402.119"
"1","1","11","137","166","2","4","0.87","281.599","6.892","51246.28","48637.708"
"1","1","12","173","169","2","3.8","0.87","312.087","7.584","56825.693","54019.42"
"1","1","13","45","147","2","3.3","0.87","187.372","5.616","33736.388","31748.261"
"1","1","14","236","114","1","2.8","0.87","269.93","6.68","49475.302","46929.483"
"1","1","15","0","56","0","2.6","0.87","55.285","1.196","9538.616","8407.912"
"1","1","16","0","9","0","3.1","0.87","8.477","0.143","872.584","48.952"
"1","1","17","0","0","0","3.8","0.87","0","0","0","0"
"1","1","18","0","0","0","4.3","0.87","0","0","0","0"
"1","1","19","0","0","0","4.8","0.87","0","0","0","0"
"1","1","20","0","0","0","5.2","0.87","0","0","0","0"
"1","1","21","0","0","0","5.6","0.87","0","0","0","0"
"1","1","22","0","0","0","6.1","0.87","0","0","0","0"
"1","1","23","0","0","0","6.6","0.87","0","0","0","0"
"1","2","0","0","0","0","7","0.87","0","0","0","0"
"1","2","1","0","0","0","7.6","0.87","0","0","0","0"
"1","2","2","0","0","0","8.1","0.87","0","0","0","0"
"1","2","3","0","0","0","8.4","0.87","0","0","0","0"
"1","2","4","0","0","0","8.3","0.87","0","0","0","0"
"1","2","5","0","0","0","7.7","0.87","0","0","0","0"
"1","2","6","0","0","0","6.9","0.87","0","0","0","0"
"1","2","7","0","0","0","6.2","0.87","0","0","0","0"
"1","2","8","0","6","1","5.3","0.87","5.644","1.079","775.703","0"
"1","2","9","0","30","2","4.3","0.87","28.288","2.469","4767.048","3805.42"
"1","2","10","0","44","3","3.9","0.87","41.526","3.73","7111.453","6066.753"
"1","2","11","0","85","4","5.3","0.87","81.274","5.186","14168.069","12873.325"
"1","2","12","0","76","5","7.3","0.87","71.915","5.844","12435.435","11202.086"
"1","2","13","0","95","6","8.3","0.87","91.937","6.983","15996.833","14637.289"
"1","2","14","0","38","6","7.9","0.87","35.85","6.398","6035.627","5029.048"
"1","2","15","0","32","6","6.1","0.87","30.185","6.4","4977.91","4008.81"
"1","2","16","0","5","5","4.7","0.87","4.704","5.063","459.919","0"
"1","2","17","0","0","5","4","0.87","0","5","0","0"
"1","2","18","0","0","5","3.7","0.87","0","5","0","0"
"1","2","19","0","0","4","3.4","0.09","0","4","0","0"
"1","2","20","0","0","3","3.3","0.09","0","3","0","0"
"1","2","21","0","0","2","3.6","0.09","0","2","0","0"
"1","2","22","0","0","2","3.8","0.09","0","2","0","0"
"1","2","23","0","0","2","3.5","0.09","0","2","0","0"
"1","3","0","0","0","2","3","0.09","0","2","0","0"
"1","3","1","0","0","2","2.7","0.09","0","2","0","0"
"1","3","2","0","0","1","2.4","0.09","0","1","0","0"
"1","3","3","0","0","1","2.2","0.09","0","1","0","0"
"1","3","4","0","0","1","2.2","0.09","0","1","0","0"
"1","3","5","0","0","1","2","0.09","0","1","0","0"
"1","3","6","0","0","2","1.7","0.09","0","2","0","0"
"1","3","7","0","0","2","1.3","0.09","0","2","0","0"
"1","3","8","0","14","2","0.9","0.09","12.948","2.39","1847.4","989.227"
"1","3","9","0","72","2","0.6","0.09","70.463","4.394","12285.07","11057.049"
"1","3","10","0","101","3","0.3","0.09","98.014","6.644","17243.033","15839.331"
"1","3","11","0","87","3","0.3","0.09","81.822","6.04","14303.854","13004.299"
"1","3","12","34","158","3","0.4","0.09","189.901","9.849","33740.558","31752.284"
"1","3","13","8","134","3","0.3","0.09","137.438","8.108","24311.247","22657.09"
"1","3","14","35","116","3","0.5","0.09","142.212","7.984","25306.784","23617.351"
"1","3","15","0","61","2","1.2","0.09","59.77","3.733","10311.623","9153.528"
"1","3","16","0","11","2","1.8","0.09","10.176","2.22","1052.072","222.08"
"1","3","17","0","0","2","2.2","0.09","0","2","0","0"
"1","3","18","0","0","2","2.6","0.09","0","2","0","0"
"1","3","19","0","0","2","2.9","0.09","0","2","0","0"
"1","3","20","0","0","1","3.1","0.09","0","1","0","0"
"1","3","21","0","0","1","3.5","0.09","0","1","0","0"
"1","3","22","0","0","1","4","0.09","0","1","0","0"
"1","3","23","0","0","1","4.2","0.09","0","1","0","0"
"1","4","0","0","0","1","4.3","0.09","0","1","0","0"
"1","4","1","0","0","1","4.3","0.09","0","1","0","0"
"1","4","2","0","0","0","4.1","0.09","0","0","0","0"
"1","4","3","0","0","0","4.1","0.09","0","0","0","0"
"1","4","4","0","0","0","4.3","0.09","0","0","0","0"
"1","4","5","0","0","0","4.2","0.09","0","0","0","0"
"1","4","6","0","0","0","3.9","0.09","0","0","0","0"
